Country,Policy_Bucket,Need_Score_0to1,Urban_Pop_used,WAT_latest,SAN_latest,CMR_latest,Feasible_WAT_gain,Feasible_SAN_gain,People_new_WAT_12m,People_new_SAN_12m,Standpipes_needed,New_connections_needed,Basic_toilets_needed,Handwash_stations_needed,Desludging_trips_year,Cost_total_12m_USD,Primary_Owner,Co_Leads,Objective,Key_Actions,Timeline_90d,Timeline_6_12m,Timeline_12_24m,KPIs
Benin,Type B: Basic Services First,0.658,7149920,67.36,19.49,30.01,0.1,0.08,714992,571994,1430,71500,28600,143,2860,39568100,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Sierra Leone,Type B: Basic Services First,0.651,3788538,65.34,22.92,28.68,0.1,0.08,378854,303083,758,37886,15155,76,1516,20966800,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Guinea-Bissau,Type B: Basic Services First,0.64,988234,61.78,27.84,25.62,0.1,0.08,98823,79059,198,9883,3953,20,396,5469800,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Uganda,Type B: Basic Services First,0.638,13326558,59.26,21.01,11.31,0.1,0.08,1332656,1066125,2666,133266,53307,267,5331,73750750,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Guinea,Type B: Basic Services First,0.605,5548554,71.45,31.27,37.33,0.1,0.08,554855,443884,1110,55486,22195,111,2220,30706600,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Togo,Type B: Basic Services First,0.603,4192910,70.99,19.2,20.12,0.1,0.08,419291,335433,839,41930,16772,84,1678,23204800,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Tanzania,Type B: Basic Services First,0.593,25405291,60.79,30.62,13.46,0.1,0.08,2540529,2032423,5082,254053,101622,509,10163,140594850,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Zimbabwe,Type B: Basic Services First,0.569,5338549,62.29,34.62,14.32,0.1,0.08,533855,427084,1068,53386,21355,107,2136,29544500,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Mozambique,Type B: Basic Services First,0.569,13227364,63.2,37.38,19.56,0.1,0.08,1322736,1058189,2646,132274,52910,265,5291,73201450,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Liberia,Type B: Basic Services First,0.561,2970469,75.61,22.52,20.48,0.1,0.08,297047,237638,595,29705,11882,60,1189,16440350,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Sudan,Type B: Basic Services First,0.551,18391730,64.92,36.89,16.59,0.1,0.08,1839173,1471338,3679,183918,73567,368,7357,101781250,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Angola,Type B: Basic Services First,0.55,25460704,57.72,52.18,23.36,0.1,0.08,2546070,2036856,5093,254607,101843,510,10185,140901150,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Congo,Type C: Service Quality & Risk Control,0.549,4305641,73.97,20.55,11.35,0.1,0.08,430564,344451,862,43057,17223,87,1723,23829350,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Kenya,Type B: Basic Services First,0.541,16628818,62.86,36.53,9.43,0.1,0.08,1662882,1330305,3326,166289,66516,333,6652,92024900,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Zambia,Type B: Basic Services First,0.538,9722442,68.25,36.3,18.23,0.1,0.08,972244,777795,1945,97225,38890,195,3889,53805250,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Burundi,Type B: Basic Services First,0.524,2075321,62.44,45.69,15.56,0.1,0.08,207532,166026,416,20754,8302,42,831,11486950,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Haiti,Type B: Basic Services First,0.523,7037370,67.42,37.48,13.85,0.1,0.08,703737,562990,1408,70374,28150,141,2815,38945950,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Cameroon,Type B: Basic Services First,0.519,16992971,69.59,43.12,23.96,0.1,0.08,1699297,1359438,3399,169930,67972,340,6798,94040000,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Cote d'Ivoire,Type B: Basic Services First,0.513,16718503,72.85,36.96,20.05,0.1,0.08,1671850,1337480,3344,167185,66874,335,6688,92520800,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Nigeria,Type B: Basic Services First,0.507,125403987,79.64,46.57,43.29,0.1,0.08,12540399,10032319,25081,1254040,501616,2509,50162,693986300,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Solomon Islands,Type B: Basic Services First,0.496,211908,67.45,35.02,2.74,0.1,0.08,21191,16953,43,2120,848,5,85,1174350,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Yemen,Type B: Basic Services First,0.489,15944214,61.76,54.84,16.11,0.1,0.08,1594421,1275537,3189,159443,63777,319,6378,88236000,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Mali,Type B: Basic Services First,0.448,11155803,83.65,50.21,37.76,0.064,0.08,708393,892464,1417,70840,44624,179,3570,44152300,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Comoros,Type C: Service Quality & Risk Control,0.441,258672,80.21,35.91,10.85,0.098,0.08,25324,20694,51,2533,1035,6,102,1409100,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Lesotho,Type B: Basic Services First,0.437,714177,73.97,50.28,16.93,0.1,0.08,71418,57134,143,7142,2857,15,286,3952900,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Equatorial Guinea,Type B: Basic Services First,0.436,1383339,64.67,66.31,20.77,0.1,0.08,138334,110667,277,13834,5534,28,554,7656500,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Malawi,Type C: Service Quality & Risk Control,0.434,3925011,71.87,49.24,11.0,0.1,0.08,392501,314001,786,39251,15701,79,1571,21723350,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Kiribati,Type C: Service Quality & Risk Control,0.426,77467,75.69,45.18,10.37,0.1,0.08,7747,6197,16,775,310,2,31,429750,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
Ghana,Type C: Service Quality & Risk Control,0.426,20223419,88.37,28.58,11.78,0.016,0.08,329642,1617874,660,32965,80894,324,6472,38994400,Water Utility + Environmental Health,"Public Health, Education","Service quality, continuity and exposure reduction",Improve continuity (DMA pilots toward 24/7); fix cross-connections | Chlorine residual checks; main flushing as needed | Stop sewer/pit leaks near wells; unblock drains; targeted desludging | School WASH uplift + ORS points,Residual checks & flushing; fix cross-connections; drain clearance & targeted desludging.,Pilot 24/7 in one DMA; pressure/telemetry; school WASH uplift.,Scale 24/7 to 3–5 DMAs; sewer rehab in hotspots; enforce setbacks.,Hours of supply +6/day; residual pass ≥95%; sewer overflow −70%; 100% school WASH in target
